Year,Year ending,Offence Division,Offence Subdivision,Offence Subgroup,Offence Count,"Rate per 100,000 population"
2022,March,D Public order and security offences,D20 Disorderly and offensive conduct,D25 Criminal intent,1078,16.284324917
2022,March,D Public order and security offences,D20 Disorderly and offensive conduct,D26 Disorderly conduct,230,3.474392144
2022,March,D Public order and security offences,D30 Public nuisance offences,D31 Privacy offences,555,8.383859303
2022,March,D Public order and security offences,D30 Public nuisance offences,D32 Hoaxes,250,3.7765132
2022,March,D Public order and security offences,D30 Public nuisance offences,D33 Begging,17,0.256802898
2022,March,D Public order and security offences,D30 Public nuisance offences,D34 Defamation and libel,1,0.015106053
2022,March,D Public order and security offences,D30 Public nuisance offences,D35 Improper movement on public or private space,3079,46.511536568
2022,March,D Public order and security offences,D30 Public nuisance offences,D36 Other public nuisance offences,60,0.906363168
2022,March,D Public order and security offences,D40 Public security offences,D41 Immigration offences,1,0.015106053
2022,March,D Public order and security offences,D40 Public security offences,D43 Hacking,58,0.876151062
2022,March,D Public order and security offences,D40 Public security offences,D44 Terrorism offences,8,0.120848422
2022,March,E Justice procedures offences,E10 Justice procedures,E11 Escape custody,98,1.480393174
2022,March,E Justice procedures offences,E10 Justice procedures,E12 Fail to appear,1,0.015106053
2022,March,E Justice procedures offences,E10 Justice procedures,E13 Resist or hinder officer,8873,134.036006485
2022,March,E Justice procedures offences,E10 Justice procedures,E14 Pervert the course of justice or commit perjury,634,9.577237475
2022,March,E Justice procedures offences,E10 Justice procedures,E15 Prison regulation offences,571,8.625556148
2022,March,E Justice procedures offences,E10 Justice procedures,E19 Other justice procedures offences,1971,29.774030067
2022,March,E Justice procedures offences,E20 Breaches of orders,E21 Breach family violence order,51210,773.580963836
2022,March,E Justice procedures offences,E20 Breaches of orders,E22 Breach intervention order,4369,65.998344679
2022,March,E Justice procedures offences,E20 Breaches of orders,E23 Breach bail conditions,11339,171.287532688
2022,March,E Justice procedures offences,E20 Breaches of orders,E29 Breach of other orders,1218,18.399172309
2022,March,F Other offences,F10 Regulatory driving offences,F19 Other regulatory driving offences,19,0.287015003
2022,March,F Other offences,F20 Transport regulation offences,F21 Public transport,122,1.842938441
2022,March,F Other offences,F20 Transport regulation offences,F22 Aviation regulations offences,24,0.362545267
2022,March,F Other offences,F20 Transport regulation offences,F23 Maritime regulations offences,156,2.356544237
2022,March,F Other offences,F20 Transport regulation offences,F24 Pedestrian offences,6,0.090636317
2022,March,F Other offences,F20 Transport regulation offences,F29 Other transport regulation offences,24,0.362545267
2022,March,F Other offences,F30 Other government regulatory offences,F31 Betting and gaming offences,19,0.287015003
2022,March,F Other offences,F30 Other government regulatory offences,F32 Commercial regulation offences,36,0.543817901
2022,March,F Other offences,F30 Other government regulatory offences,F33 Liquor and tobacco licensing offences,122,1.842938441
2022,March,F Other offences,F30 Other government regulatory offences,F34 Pornography and censorship offences,2,0.030212106
2022,March,F Other offences,F30 Other government regulatory offences,F36 Prostitution offences,151,2.281013973
2022,March,F Other offences,F30 Other government regulatory offences,F39 Other government regulatory offences,81,1.223590277
2022,March,F Other offences,F90 Miscellaneous offences,F91 Environmental offences,67,1.012105538
2022,March,F Other offences,F90 Miscellaneous offences,F92 Public health and safety offences,10478,158.281221228
2022,March,F Other offences,F90 Miscellaneous offences,F93 Cruelty to animals,176,2.658665293
2022,March,F Other offences,F90 Miscellaneous offences,F94 Dangerous substance offences,29,0.438075531
2022,March,F Other offences,F90 Miscellaneous offences,F99 Other miscellaneous offences,144,2.175271603
2021,March,A Crimes against the person,A10 Homicide and related offences,A11 Murder,61,0.931576472
2021,March,A Crimes against the person,A10 Homicide and related offences,A12 Attempted murder,18,0.274891418
2021,March,A Crimes against the person,A10 Homicide and related offences,A14 Manslaughter & A13  Accessory/ conspiracy to murder,34,0.519239345
2021,March,A Crimes against the person,A10 Homicide and related offences,A15 Driving causing death,83,1.267554871
2021,March,A Crimes against the person,A20 Assault and related offences,A211 FV Serious assault,7535,115.072601878
2021,March,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault,7479,114.217384133
2021,March,A Crimes against the person,A20 Assault and related offences,"A22 Assault police, emergency services or other authorised officer",3514,53.66491347
2021,March,A Crimes against the person,A20 Assault and related offences,A231 FV Common assault,16165,246.867765011
2021,March,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault,11003,168.035015058
2021,March,A Crimes against the person,A30 Sexual offences,A31 Rape,4466,68.203615128
2021,March,A Crimes against the person,A30 Sexual offences,A32 Indecent assault,5593,85.414872237
2021,March,A Crimes against the person,A30 Sexual offences,A33 Incest,502,7.66641621
2021,March,A Crimes against the person,A30 Sexual offences,A34 Sexual offences against children,2762,42.180560901
2021,March,A Crimes against the person,A30 Sexual offences,A39 Other sexual offences,829,12.660276968
2021,March,A Crimes against the person,A40 Abduction and related offences,A41 Abduction,183,2.794729415
2021,March,A Crimes against the person,A40 Abduction and related offences,A42 False imprisonment,592,9.040873299
2021,March,A Crimes against the person,A50 Robbery,A51 Aggravated robbery,2277,34.773764363
2021,March,A Crimes against the person,A50 Robbery,A52 Non-Aggravated robbery,317,4.841143304
2021,March,A Crimes against the person,A60 Blackmail and extortion,A61 Blackmail,157,2.397664034
2021,March,A Crimes against the person,A60 Blackmail and extortion,A62 Extortion,87,1.328641853
2021,March,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A711 FV Stalking,1562,23.854466375
2021,March,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A712 Non-FV Stalking,1304,19.914356052
2021,March,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A721 FV Harassment and private nuisance,2102,32.101208911
2021,March,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A722 Non-FV Harassment and private nuisance,1337,20.418323651
2021,March,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A731 FV Threatening behaviour,4356,66.523723129
2021,March,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A732 Non-FV Threatening behaviour,3418,52.198825908
2021,March,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A81 Dangerous driving,1391,21.242997905
2021,March,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A82 Neglect or ill treatment of people,23,0.351250145
2021,March,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A83 Throw or discharge object endangering people,1201,18.341366271
2021,March,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A89 Other dangerous or negligent acts endangering people,3668,56.016762268
2021,March,B Property and deception offences,B10 Arson,B11 Cause damage by fire,1737,26.527021826
2021,March,B Property and deception offences,B10 Arson,B12 Cause a bushfire,98,1.496631053
2021,March,B Property and deception offences,B10 Arson,B19 Other fire related offences,323,4.932773777
2021,March,B Property and deception offences,B20 Property damage,B21 Criminal damage,34986,534.297285905
2021,March,B Property and deception offences,B20 Property damage,B22 Graffiti,3072,46.914801987
2021,March,B Property and deception offences,B20 Property damage,B29 Other property damage offences,475,7.254079083
2021,March,B Property and deception offences,B30 Burglary/Break and enter,B311 Residential aggravated burglary,3663,55.940403541
2021,March,B Property and deception offences,B30 Burglary/Break and enter,B312 Non-residential aggravated burglary,91,1.389728835
2021,March,B Property and deception offences,B30 Burglary/Break and enter,B319 Unknown aggravated burglary,8,0.122173964
2021,March,B Property and deception offences,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary,17333,264.705163683
2021,March,B Property and deception offences,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,9592,146.486582244
2021,March,B Property and deception offences,B30 Burglary/Break and enter,B329 Unknown non-aggravated burglary,69,1.053750435
2021,March,B Property and deception offences,B40 Theft,B41 Motor vehicle theft,15520,237.017489203
2021,March,B Property and deception offences,B40 Theft,B42 Steal from a motor vehicle,48029,733.486661658
2021,March,B Property and deception offences,B40 Theft,B43 Steal from a retail store,18146,277.121092724
2021,March,B Property and deception offences,B40 Theft,B44 Theft of a bicycle,7138,109.009718939
2021,March,B Property and deception offences,B40 Theft,B45 Receiving or handling stolen goods,17571,268.339839097
2021,March,B Property and deception offences,B40 Theft,B46 Fare evasion,25,0.381793636
2021,March,B Property and deception offences,B40 Theft,B49 Other theft,39314,600.393400162
2021,March,B Property and deception offences,B50 Deception,B51 Forgery and counterfeiting,4292,65.546331421
2021,March,B Property and deception offences,B50 Deception,B52 Possess equipment to make false instrument,81,1.237011381
2021,March,B Property and deception offences,B50 Deception,B53 Obtain benefit by deception,29833,455.601981662
2021,March,B Property and deception offences,B50 Deception,B54 State false information,998,15.241201947
2021,March,B Property and deception offences,B50 Deception,B55 Deceptive business practices,11,0.1679892
2021,March,B Property and deception offences,B50 Deception,B56 Professional malpractice and misrepresentation,79,1.20646789
2021,March,B Property and deception offences,B50 Deception,B59 Other deception offences,587,8.964514572
2021,March,B Property and deception offences,B60 Bribery,B61 Bribery of officials,5,0.076358727
2021,March,C Drug offences,C10 Drug dealing and trafficking,C11 Drug dealing,134,2.046413889
2021,March,C Drug offences,C10 Drug dealing and trafficking,C12 Drug trafficking,5446,83.169925657
2021,March,C Drug offences,C20 Cultivate or manufacture drugs,C21 Cultivate drugs,1255,19.166040525
2021,March,C Drug offences,C20 Cultivate or manufacture drugs,C22 Manufacture drugs,2,0.030543491
2021,March,C Drug offences,C20 Cultivate or manufacture drugs,C23 Possess drug manufacturing equipment or precursor,903,13.790386131
2021,March,C Drug offences,C30 Drug use and possession,C31 Drug use,539,8.231470791
2021,March,C Drug offences,C30 Drug use and possession,C32 Drug possession,31580,482.281720942
2021,March,C Drug offences,C90 Other drug offences,C99 Other drug offences,62,0.946848217
2021,March,D Public order and security offences,D10 Weapons and explosives offences,D11 Firearms offences,5441,83.09356693
2021,March,D Public order and security offences,D10 Weapons and explosives offences,D12 Prohibited and controlled weapons offences,10893,166.35512306
2021,March,D Public order and security offences,D10 Weapons and explosives offences,D13 Explosives offences,309,4.71896934
2021,March,D Public order and security offences,D20 Disorderly and offensive conduct,D21 Riot and affray,1933,29.520283932
2021,March,D Public order and security offences,D20 Disorderly and offensive conduct,D22 Drunk and disorderly in public,3812,58.215893611
