Year,Year ending,Offence Division,Offence Subdivision,Offence Subgroup,Offence Count,"Rate per 100,000 population"
2021,March,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A732 Non-FV Threatening behaviour,"3,418",52.2
2021,March,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A81 Dangerous driving,"1,391",21.2
2021,March,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A82 Neglect or ill treatment of people,23,0.4
2021,March,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A83 Throw or discharge object endangering people,"1,201",18.3
2021,March,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A89 Other dangerous or negligent acts endangering people,"3,668",56.0
2021,March,B Property and deception offences,B10 Arson,B11 Cause damage by fire,"1,737",26.5
2021,March,B Property and deception offences,B10 Arson,B12 Cause a bushfire,98,1.5
2021,March,B Property and deception offences,B10 Arson,B19 Other fire related offences,323,4.9
2021,March,B Property and deception offences,B20 Property damage,B21 Criminal damage,"34,986",534.3
2021,March,B Property and deception offences,B20 Property damage,B22 Graffiti,"3,072",46.9
2021,March,B Property and deception offences,B20 Property damage,B29 Other property damage offences,475,7.3
2021,March,B Property and deception offences,B30 Burglary/Break and enter,B311 Residential aggravated burglary,"3,663",55.9
2021,March,B Property and deception offences,B30 Burglary/Break and enter,B312 Non-residential aggravated burglary,91,1.4
2021,March,B Property and deception offences,B30 Burglary/Break and enter,B319 Unknown aggravated burglary,8,0.1
2021,March,B Property and deception offences,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary,"17,333",264.7
2021,March,B Property and deception offences,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,"9,592",146.5
2021,March,B Property and deception offences,B30 Burglary/Break and enter,B329 Unknown non-aggravated burglary,69,1.1
2021,March,B Property and deception offences,B40 Theft,B41 Motor vehicle theft,"15,520",237.0
2021,March,B Property and deception offences,B40 Theft,B42 Steal from a motor vehicle,"48,029",733.5
2021,March,B Property and deception offences,B40 Theft,B43 Steal from a retail store,"18,146",277.1
2021,March,B Property and deception offences,B40 Theft,B44 Theft of a bicycle,"7,138",109.0
2021,March,B Property and deception offences,B40 Theft,B45 Receiving or handling stolen goods,"17,571",268.3
2021,March,B Property and deception offences,B40 Theft,B46 Fare evasion,25,0.4
2021,March,B Property and deception offences,B40 Theft,B49 Other theft,"39,314",600.4
2021,March,B Property and deception offences,B50 Deception,B51 Forgery and counterfeiting,"4,292",65.5
2021,March,B Property and deception offences,B50 Deception,B52 Possess equipment to make false instrument,81,1.2
2021,March,B Property and deception offences,B50 Deception,B53 Obtain benefit by deception,"29,833",455.6
2021,March,B Property and deception offences,B50 Deception,B54 State false information,998,15.2
2021,March,B Property and deception offences,B50 Deception,B55 Deceptive business practices,11,0.2
2021,March,B Property and deception offences,B50 Deception,B56 Professional malpractice and misrepresentation,79,1.2
2021,March,B Property and deception offences,B50 Deception,B59 Other deception offences,587,9.0
2021,March,B Property and deception offences,B60 Bribery,B61 Bribery of officials,5,0.1
2021,March,C Drug offences,C10 Drug dealing and trafficking,C11 Drug dealing,134,2.0
2021,March,C Drug offences,C10 Drug dealing and trafficking,C12 Drug trafficking,"5,446",83.2
2021,March,C Drug offences,C20 Cultivate or manufacture drugs,C21 Cultivate drugs,"1,255",19.2
2021,March,C Drug offences,C20 Cultivate or manufacture drugs,C22 Manufacture drugs,2,0.0
2021,March,C Drug offences,C20 Cultivate or manufacture drugs,C23 Possess drug manufacturing equipment or precursor,903,13.8
2021,March,C Drug offences,C30 Drug use and possession,C31 Drug use,539,8.2
2021,March,C Drug offences,C30 Drug use and possession,C32 Drug possession,"31,580",482.3
2021,March,C Drug offences,C90 Other drug offences,C99 Other drug offences,62,0.9
2021,March,D Public order and security offences,D10 Weapons and explosives offences,D11 Firearms offences,"5,441",83.1
2021,March,D Public order and security offences,D10 Weapons and explosives offences,D12 Prohibited and controlled weapons offences,"10,893",166.4
2021,March,D Public order and security offences,D10 Weapons and explosives offences,D13 Explosives offences,309,4.7
2021,March,D Public order and security offences,D20 Disorderly and offensive conduct,D21 Riot and affray,"1,933",29.5
2021,March,D Public order and security offences,D20 Disorderly and offensive conduct,D22 Drunk and disorderly in public,"3,812",58.2
2021,March,D Public order and security offences,D20 Disorderly and offensive conduct,D23 Offensive conduct,"2,364",36.1
2021,March,D Public order and security offences,D20 Disorderly and offensive conduct,D24 Offensive language,636,9.7
2021,March,D Public order and security offences,D20 Disorderly and offensive conduct,D25 Criminal intent,"1,579",24.1
2021,March,D Public order and security offences,D20 Disorderly and offensive conduct,D26 Disorderly conduct,281,4.3
2021,March,D Public order and security offences,D30 Public nuisance offences,D31 Privacy offences,190,2.9
2021,March,D Public order and security offences,D30 Public nuisance offences,D32 Hoaxes,249,3.8
